Espacenet;;;;;;;;;;;
Patent search;;;;;;;;;;;
"307 results found for (ctxt any ""fuel"" AND (ctxt any ""assemb*"" OR ctxt any ""bundl*"" OR ctxt any ""cartridg*"")) AND (ctxt any ""nuclear"" OR (ctxt any ""boil*"" AND ctxt any ""water*"")) AND ((ctxt any ""head*"" OR ctxt any ""cover*"") OR ((ctxt any ""top*"" OR ctxt any ""upper*"") AND (ctxt any ""nozzl*"" OR ctxt any ""cap*"" OR ctxt any ""lid*"" OR ctxt any ""plat*"" OR ctxt any ""end*"" OR ctxt any ""hood*"" OR ctxt any ""stem*""))) AND pd > ""2005-01-01"" AND (pn any ""FR"" OR pn any ""EP"")";;;;;;;;;;;
Results 1 to 307 displayed;;;;;;;;;;;
Query language: en / de / fr;;;;;;;;;;;
Sort by: Relevance;;;;;;;;;;;
;;;;;;;;;;;
No;Title;Abstract;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
135;DEVICE FOR RAISING OR LOWERING A NUCLEAR FUEL ASSEMBLY IN A POOL OF A NUCLEAR INSTALLATION;A device (7) for raising or lowering a nuclear fuel assembly (12) in a pool (14) of a nuclear installation, comprising: - a guiding system (20) intended to be fastened to the pool, and - a basket (22) defining a housing (24) for receiving the nuclear fuel assembly and water (40) around the nuclear fuel assembly, the basket being mounted on the guiding system so as to be able to move translationally in a direction (V) that is intended to be substantially vertical, the basket comprising an upper end (32) defining a passage (33) intended to allow the nuclear fuel assembly to be loaded into the housing from above, and a lateral jacket (34) that is intended to encircle the nuclear fuel assembly about the direction (V) and that is seal-tight to water, and - at least one sampling system (62) suitable for delivering at least one water sample (68) sampled from the housing.;"LOTAUT YANNICK [FR] 
COUSTOURIER FRANCK [FR] 
BUNOZ EMMANUEL [FR] 
BASSET JEAN-CHRISTOPHE [FR] 
GUEDICHI ABDELGHANI [FR]";FRAMATOME SA [FR];"EP4309189A1 
EP4309189B1";19.03.2021;"G21C17/07 
G21C19/07 
G21C19/08";"G21C17/07 (EP) 
G21C19/08 (EP) 
G21C19/07 (EP) 
Y02E30/30 (EP)";"2024-01-24 
2025-01-29";22.09.2022;76807707
136;IN-CONTAINMENT SPENT FUEL STORAGE TO LIMIT SPENT FUEL POOL WATER MAKEUP;A method and apparatus for extending the period a nuclear steam supply system spent fuel pool can be safely passively cooled by storing the spent fuel offloaded from the reactor, in the containment for one reactor operating cycle. During a refueling the spent fuel that is not to be returned to the reactor and the spent fuel that will be returned to the reactor are stored separately in shielded locations within the containment. After one operating cycle, the spent fuel stored within the containment that was not returned to the reactor just prior to the last operating cycle, is offloaded to the spent fuel pool and replaced by the newly offloaded spent fuel that is being retired.;"CONWAY LAWRENCE E [US] 
CHRZANOWSKI JERZY [US]";"WESTINGHOUSE ELECTRIC CORP [US] 
WESTINGHOUSE ELECTRIC CO LLC [US]";"EP2973596A2 
EP2973596A4 
EP2973596B1";14.03.2013;"G21C15/18 
G21C19/07 
G21C13/02";"G21C11/083 (US) 
G21C13/02 (US) 
G21C15/12 (US) 
G21C15/18 (US) 
G21C19/07 (EP) 
G21C19/20 (US) 
G21C19/32 (US) 
G21C3/04 (US) 
G21D1/02 (US) 
G21C13/02 (EP) 
G21C19/07 (US) 
Y02E30/00 (EP) 
Y02E30/30 (EP)";"2016-01-20 
2016-11-02 
2017-12-13";27.11.2014;51934308
137;METHOD AND APPARATUS FOR THE SHIELDED RELOCATION OF A NUCLEAR COMPONENT;A nuclear component transfer device that incorporates a shielded canister into the mast design of a conventional nuclear refueling machine. A moveable mast telescopes within a stationary mast which is attached to a bridge for lateral positioning. The canister allows for the addition of shielding that is positioned with the movement of the moveable mast without additional motorized components to deploy the shielding during nuclear component movement. The nuclear component is drawn up into the shielded canister as the moveable mast lifts the nuclear component. The nuclear component is then placed into a transfer cart that is also fitted with a shielded canister. The transfer is made without exposing the nuclear components resulting in completely shield movement.;HARKNESS ALEXANDER W [US];"WESTINGHOUSE ELECTRIC CORP [US] 
WESTINGHOUSE ELECTRIC CO LLC [US]";"EP2946391A2 
EP2946391A4 
EP2946391B1";15.01.2013;"G21C19/105 
G21C19/16 
G21C19/20 
G21C19/32 
G21F5/015 
G21F5/14 
G21F5/008";"G21C19/105 (EP,CN,US) 
G21C19/16 (EP,US) 
G21C19/20 (CN) 
G21C19/205 (EP,US) 
G21C19/32 (EP,US) 
G21F5/008 (CN) 
G21F5/015 (CN) 
G21F5/14 (EP,CN,US) 
G21F5/008 (EP,US) 
Y02E30/30 (EP)";"2015-11-25 
2016-08-24 
2017-11-22";17.07.2014;51165136
138;DEVICE FOR INSPECTING A FUEL ROD ASSEMBLY IN THE POOL OF A NUCLEAR PLANT AND CORRESPONDING INSPECTION METHOD;The invention relates to a device for inspecting a fuel assembly (3) in the pool (1) of a nuclear plant, that comprises an image sensor (5) with an observation field (53), and further comprising a boom (81) with at least one removable fastener (85) to the assembly, a reference graduation (84) extending along an axis (Z) parallel to a longitudinal axis of the assembly, so that the image sensor (5) can monitor within its field (53) both the boom (81) and the assembly (3). The device is designed so that the boom (81) can be removably attached to the fuel assembly (3) when the latter is suspended outside the pool (1) by the hook (4) of the machine for handling the fuel assemblies (3). The invention also relates to a corresponding method.;"CAUVIN RICHARD [FR] 
TESSIER DENIS [FR]";ELECTRICITE DE FRANCE [FR];"EP2208206A1 
EP2208206B1";08.10.2007;G21C17/06;"G21C17/06 (EP,US) 
G21C17/007 (US) 
Y02E30/30 (EP)";"2010-07-21 
2011-06-15";10.04.2009;39357229
139;PRESSURIZED WATER REACTOR WITH ALIGNMENT PLATE;An alignment plate that is attached to a core barrel of a pressurized water reactor and fits within slots within a top plate of a lower core shroud and upper core plate to maintain lateral alignment of the reactor internals. The alignment plate is connected to the core barrel through two vertically-spaced dowel pins that extend from the outside surface of the core barrel through a reinforcement pad and into corresponding holes in the alignment plate. Additionally, threaded fasteners are inserted around the perimeter of the reinforcement pad and into the alignment plate to further secure the alignment plate to the core barrel. A fillet weld also is deposited around the perimeter of the reinforcement pad. To accommodate thermal growth between the alignment plate and the core barrel, a gap is left above, below and at both sides of one of the dowel pins in the alignment plate holes through which the dowel pins pass.;"ALTMAN DAVID A [US] 
FORSYTH DAVID R [US] 
SMITH RICHARD E [US] 
SINGLETON NORMAN R [US]";WESTINGHOUSE ELECTRIC CORP [US];"EP2097905A2 
EP2097905A4 
EP2097905B1";02.01.2007;"G21C13/024 
G21C19/19 
G21C13/04";"G21C1/00 (KR) 
G21C13/024 (EP) 
G21C19/19 (EP,KR) 
G21C13/04 (EP) 
Y02E30/30 (EP)";"2009-09-09 
2011-08-24 
2013-08-14";13.11.2008;39944181
140;NUCLEAR FUEL ASSEMBLY DESIGN;A duct for a nuclear fuel assembly includes a tubular body and an elongated member. The tubular body has a sidewall with an inner face and an outer face and is configured to contain nuclear fuel within a fuel region. The elongated member extends from the outer face along at least a portion of the fuel region and has a contact surface configured to stabilize the duct during operation of the nuclear fuel assembly.;"CHEATHAM JESSE R III [US] 
COHEN MICHAEL E [US] 
HEJZLAR PAVEL [US] 
JOHNS CHRISTOPHER J [US] 
JOHNSON BRIAN C [US] 
PETROSKI ROBERT C [US] 
SCHLOSS PHILIP [US] 
TRUONG BAO H [US] 
TANDY JAY R [US] 
WERNER MARK R [US]";TERRAPOWER LLC [US];"EP2997578A2 
EP2997578A4 
EP2997578B1";17.05.2013;"G21C1/02 
G21C3/30 
G21C3/324 
G21C3/33 
G21C5/06";"G21C3/30 (RU) 
G21C3/324 (EP,US) 
G21C3/33 (EP,US) 
G21C5/06 (EP,US) 
G21C1/026 (EP,US) 
Y02E30/30 (EP,US)";"2016-03-23 
2017-01-25 
2019-03-06";20.11.2014;51895780
141;Nuclear reactor fuel assebmblies;A fuel rod 58 for a nuclear reactor 22 includes the fuel rod 58 having a first axial zone positioned proximate to a bottom end, a second axial zone positioned adjacent to the first axial zone in the intermediate region, and a third axial zone positioned proximate to a top end. The first axial zone has an enrichment greater than the second axial zone and the second axial zone has an enrichment greater than or equal to the third axial zone. Also includes fuel assemblies 42 having a plurality of fuel rods 58 and methods of designing and manufacturing of fuel rods 58 and fuel assemblies 42.;"RUSSELL II WILLIAM EARL [US] 
HAUGHTON ROBERT [US]";GLOBAL NUCLEAR FUEL AMERICAS [US];"EP1914758A1 
EP1914758B1";16.10.2006;"G21C3/04 
G21C3/16";"G21C3/04 (EP,US) 
G21C3/16 (EP,US) 
G21C3/326 (EP,US) 
Y02E30/30 (EP,US)";"2008-04-23 
2018-06-27";17.04.2008;38895822
142;Cascaded arrangement for a heating installation with two or more boilers;The unit has two central heating boilers (2) e.g. condensing boilers, and a hydraulic guide (5) that is connected with a feed and a return of the boilers and with heating circuit feed (55) and return (56). A horizontally running boiler feed-accumulator (3) and a boiler return-manifold (4) are connected with the guide and are arranged with connection pieces (32, 42) for connection of the heating circuit feed and the return. The unit forms an integral supporting frame (10), where one of the boilers is attached to the frame.;MUKOMILOW DARIUSZ [DE];COMFORT SINUSVERTEILER GMBH [DE];"EP1801506A1 
EP1801506B1";23.12.2005;F24D3/10;"F24D12/02 (EP,US) 
F24D3/1066 (EP,US) 
F24D3/1091 (EP,US) 
F24H9/0094 (EP,US) 
F24D2200/043 (EP,US) 
Y02B30/00 (US) 
Y10T137/85938 (EP,US)";"2007-06-27 
2010-04-21";10.05.2007;37801455
143;DISPOSITIF DE RETENUE D'ELEMENT DE COEUR NUCLEAIRE ET ASSEMBLAGE COMBUSTIBLE DE REACTEUR NUCLEAIRE;Dispositif de retenue d'ÈlÈment de cúur nuclÈaire (100), configurÈ sur une plaque d'adaptation (50) d'un embout supÈrieur. Le dispositif comprend un guide de ressort (10) creux dans lequel est formÈ un canal d'insertion d'instrumentation (11), une plaque de base (20) qui comporte un trou central (21), formÈ en son centre, et plusieurs trous d'Ècoulement d'eau formÈs autour du trou central (21). L'extrÈmitÈ infÈrieure du guide de ressort (10) est reliÈe et assemblÈe avec l'extrÈmitÈ supÈrieure de la plaque de base (20). Le canal d'insertion d'instrumentation (11) communique avec le trou central (21) et la plaque de base (20) est situÈe au-dessus de la plaque d'adaptation (50) et s'appuie directement contre celle-ci. Une barre de retenue (30) est montÈe de faÁon coulissante sur l'extrÈmitÈ supÈrieure du guide de ressort (10) et se situe au-dessus de la plaque de base (20). Un ÈlÈment formant ressort (40) est configurÈ entre la barre de retenue (30) et la plaque de base (20), et par son intermÈdiaire la barre de retenue (30) pousse la plaque de base (20) pour faire en sorte que la plaque de base (20) s'appuie contre la plaque d'adaptation (50). La structure est stable et fiable.;"YU WENCHI [CN] 
CHEN XIAOMING [CN] 
LV XIANFENG [CN] 
LI WEICAI [CN] 
ZHOU YUEMIN [CN] 
HU YAHONG [CN] 
LI SHILEI [CN]";CHINA NUCLEAR POWER TECHNOLOGY RES INST CO LTD [CN];"FR3018626A1 
FR3018626B1";17.03.2014;"G21C3/30 
G21C3/33";"G21C3/322 (EP,US) 
G21C3/331 (EP,US) 
G21C5/06 (EP) 
Y02E30/30 (EP,US)";"2015-09-18 
2021-04-09";30.07.2014;51333453
144;METHOD FOR CONTROLLING THE POSITIONS OF NUCLEAR FUEL ASSEMBLIES INSIDE A NUCLEAR REACTOR CORE, AND CORRESPONDING CONTROL ASSEMBLY;"The invention relates to a method for controlling the positions of a plurality of nuclear fuel assemblies (1) relative to an upper core plate (3) in a nuclear reactor core, the method comprising the following steps: choosing a reference point (13) in internals or in a reactor vessel; determining the positions of S-shaped holes in the nuclear fuel assemblies (1) relative to the reference point (13), each S-shaped hole being intended to cooperate with a corresponding centring pin of the upper core plate (3); acquiring the positions of the centring pins of the upper core plate (3) relative to the reference point (13); and comparing the positions of the S-shaped holes and the positions of the pins and deducing therefrom whether the nuclear fuel assemblies (1) are correctly positioned relative to the upper core plate (3).";"TOURNANT AUDREY [FR] 
MAGRE FREDERIC ALAIN [FR] 
LORIOT BENJAMIN [FR] 
MAGRE FR√âD√âRIC ALAIN [FR]";AREVA NP [FR];"EP2599088A1 
EP2599088B1";27.07.2010;"G21C17/08 
G21C17/10 
G21C19/19";"G21C17/08 (EP,US) 
G21C17/10 (US) 
G21C19/19 (EP,US) 
Y02E30/30 (EP)";"2013-06-05 
2014-12-03";03.02.2012;43037197
145;A PRESSURE-CONTAINING SILO FOR A PRESSURISED WATER REACTOR NUCLEAR POWER PLANT;"A pressure-containing silo for one or more components on a primary coolant circuit of a nuclear reactor is provided. The pressure-containing silo for one or more components on a primary coolant circuit of a nuclear reactor having nuclear fuel assemblies which are cooled by coolant circulating around the primary coolant circuit, the silo defining a release space which, in the event of a loss-of-coolant accident releasing the pressurised coolant water from the one or more components contained therein, receives and contains the released water and steam, at increasing pressure, formed therefrom; wherein the silo is formed from plural, substantially identical, stacked and joined modular units, each modular unit having: a concrete body, a metal liner which lines a surface of the concrete body, and which, when the units are stacked and joined, is sealed edge-to-edge with the metal liners of neighbouring units to form an inward-facing, pressure-containing skin surrounding the release space, and plural conduits which, when the units are stacked, align with the conduits of neighbouring units to receive elongate tensioning members for post-stressing the concrete of the bodies.";ROBERTSON DANIEL [GB];ROLLS ROYCE SMR LTD [GB];"EP3977486A1 
EP3977486B1";24.05.2019;"G21C13/02 
G21C13/024 
G21C9/00";"G21C13/02 (EP) 
G21C13/024 (EP,US) 
G21C15/18 (US) 
G21C9/00 (EP) 
Y02E30/30 (EP)";"2022-04-06 
2023-07-26";03.12.2020;67385491
146;Control rod blade extension for a nordic nuclear reactor;An embodiment of the present invention takes the form of an apparatus or system that may incorporate a single component to connect the control rod blade (130) to the control rod drive system (CRD) (120) of a Nordic-type of BWR. An embodiment of the present invention may eliminate the need of using multiple components to connect the control rod blade (130) with the CRD (120).;NELSON DENNIS S [US];"GE HITACHI NUCL ENERGY AMERICA [US] 
GE HITACHI NUCLEAR ENERGY AMERICAS LLC [US]";"EP2261929A2 
EP2261929A3 
EP2261929B1";11.06.2009;"G21C19/10 
G21C19/11 
G21C7/10 
G21C7/12 
G21C7/113";"G21C19/10 (EP,US) 
G21C19/11 (EP,US) 
G21C7/10 (EP,US) 
G21C7/12 (EP,US) 
G21C7/113 (EP,US) 
Y02E30/30 (EP,US)";"2010-12-15 
2013-12-04 
2017-01-04";15.12.2010;42667902
147;Fuel assembly for VVER-440 type nuclear reactor;The invention relates to the field of atomic energy, more specifically to designs for working cassettes for reactors of the VVER-440 type. The cassette contains interconnected supporting corner members and a tail part and a head part with a framework situated therebetween, which comprises spacer grids made up of cells that are arranged according to a triangular mesh so as to form coaxial hexagonal rows about the centre of the grid. In the second or third or fourth row from the centre or in the corners of the third and fourth rows from the centre or in the corners of the third and second rows from the centre or in the corners of the fourth and second rows from the centre or in the middle of the fourth and second rows from the centre there are framework tubes which are connected to the tail part and are rigidly connected to the adjacent cells. This results in an increase in the rigidity and strength of the working cassette, an increase in safety under both normal and emergency operating conditions, more efficient use of fuel as a result of an improved water to uranium ratio and the possibility of spectrally controlling reactivity, and an increase in fuel cycle length and burn-up.;"LUNIN GLEB LEONIDOVICH [RU] 
DUKHOVENSKIY ANDREY SERGEEVICH [RU] 
DORONIN ALEKSANDR SERGEEVICH [RU] 
FOLOMEEV VLADIMIR IVANOVICH [RU] 
LIKHACHEV YURIY IVANOVICH [RU] 
LUSHIN VLADIMIR BORISOVICH [RU] 
TUTNOV ALEKSANDR ALEKSANDROVICH [RU] 
KUKUSHKIN YURIY ANATOLIEVICH [RU] 
YENIN ANATOLIY ALEKSEEVICH [RU] 
USTIMENKO ALEKSANDR PAVLOVICH [RU] 
BRODA VALERIY ADIMOVICH [RU] 
ODINTSOV NIKOLAY VLADIMIROVICH [RU] 
MALAKHOV ALEKSANDR ANATOLIEVICH [RU] 
KURKIN ANDREY MIKHAILOVICH [RU]";"OPEN JOINT STOCK COMPANY TVEL [RU] 
JOINT STOCK COMPANY NOVOSIB CHEMICAL CONCENTRATES PLANT [RU] 
OTKRITOYE AKCIONERNOE OBSHCHESTVO MASHINOSTROITELNY ZD [RU]";"EP2428964A1 
EP2428964A4 
EP2428964B1";05.05.2009;"G21C3/32 
G21C3/328 
G21C3/334 
G21C3/322";"G21C3/32 (EP) 
G21C3/328 (EP) 
G21C3/334 (EP) 
G21C3/322 (EP) 
Y02E30/30 (EP)";"2012-03-14 
2012-11-28 
2014-05-21";10.11.2010;43050251
148;DEBRIS FILTERS FOR NUCLEAR FUEL ASSEMBLY AND METHOD OF USING THE SAME;Debris filters fit in fuel assembly lower tie plates and filter fluids passing therethrough. Filters use a series of adjacent plates with aligned peaks and valleys to create several channels. The plates have small excisions in diamond, triangle, or other debris-catching shapes, such as near a lower portion of the filter where fluid enters the filter. Excisions may alternate around each channel, such as four alternating cut-outs in 90-degree intervals about a channel circumference. Excisions may be sized to entrap smaller debris common in reactor coolant flow and liable for fretting damage to fuel cladding. Multiple vertical stages can be used in filters, with different channels for each stage. Ligaments may hold each stage to the next, potentially with a gap between stages for intermixing. Plates, peaks, valleys, ligaments, and excisions may all be formed in a single stamping operation to eliminate excess or overlapping pieces or extensions.;"SMITH BRANDON P [US] 
CLARK CARLTON W [US] 
LONGREN RICHARD C [US] 
LATTER (WILM) GERALD M [US]";GLOBAL NUCLEAR FUEL AMERICAS [US];"EP3451345A1 
EP3451345B1";28.08.2017;G21C3/32;"G21C19/307 (US) 
G21C3/3206 (EP,US) 
B01D39/10 (US) 
B01D39/12 (US) 
B01D46/247 (EP,US) 
B01D46/249 (EP,US) 
G21C3/3305 (US) 
Y02E30/30 (EP)";"2019-03-06 
2021-12-29";28.02.2019;63491397
149;A FILTER AND A FUEL ASSEMBLY FOR A NUCLEAR PLANT;A filter (1, 1') for separating debris from a cooling liquid in a nuclear plant is described. The filter (1) comprises at least one passage (3) with an inner surface (5), an inlet end (2) and an outlet end (4), wherein the at least one passage (3) is arranged to permit through-flow of the cooling liquid in a main flow direction (MFD) from the inlet end (2) to the outlet end (4) for a cooling purpose in the nuclear plant. The inner surface (5) of the at least one passage (3) comprises at least one surface portion (7, 7') facing a sub flow direction (SFD) of the cooling liquid and comprising at least one surface irregularity (9, 9') arranged to catch the debris flowing in the cooling liquid in the sub flow direction (SFD), wherein the sub flow direction (SFD) is the opposite direction to the main flow direction (MFD). A fuel assembly (11, 11') for a nuclear plant, comprising a filter (1, 1') is also described.;LINDSTR√ñM KENT [SE];WESTINGHOUSE ELECTRIC SWEDEN AB [SE];EP4350712A1;05.10.2022;G21C3/32;"G21C3/3206 (EP) 
Y02E30/30 (EP)";10.04.2024;10.04.2024;83598388
150;ANNULAR NUCLEAR FUEL PELLETS WITH DISCRETE BURNABLE ABSORBER PINS;An annular nuclear fuel pellet in combination with an inserted discrete neutron absorber. The pellet/absorber may be compatible with existing or future nuclear fuel assembly designs. The concept involves the use of nuclear fuel (e.g., uranium dioxide or uranium silicide) formed into annular fuel pellets which can then have a discrete absorber material inserted into the center of the pin. Preferably, the discrete absorber is a non-parasitic absorber. The resulting pellet/absorber can then be stacked into a fuel rod which is arranged in a nuclear fuel assembly. Dimensioning of the annular pellet and absorber and selection of the absorber material and density can allow the concept to be tailored for various nuclear fuel applications.;"ENICA ANGHEL [US] 
VRTISKA SCOTT J [SE] 
MIDDLEBURGH SIMON C [SE]";WESTINGHOUSE ELECTRIC CO LLC [US];"EP3622535A1 
EP3622535A4 
EP3622535B1";09.05.2017;"G21C3/04 
G21C3/20 
G21C7/24 
C08K3/38 
C09D5/32 
C09D7/61 
G21C7/04";"C09D5/32 (EP) 
C09D7/61 (EP) 
G21C3/04 (EP,US) 
G21C3/20 (US) 
G21C7/04 (EP,US) 
C08K3/38 (EP,US) 
C09D5/32 (US) 
C09D7/61 (US) 
G21C3/045 (EP,US) 
G21C3/048 (EP,US) 
Y02E30/30 (EP)";"2020-03-18 
2021-01-20 
2023-12-06";15.11.2018;64096200
151;Nuclear reactor components including material layers to reduce enhanced corrosion on zirconium alloys used in fuel assemblies and methods thereof;Example embodiments are directed to providing a thin, adherent coating on the surfaces of nuclear reactor components, which are known to cause increased corrosion on adjacent zirconium alloy structures, and methods of reducing the increased corrosion. Example embodiments include coatings (300) being structurally bonded to components (20) such that the difference in the corrosion potential between a coated component and a zirconium alloy component is less than that between a component without the coating and the zirconium alloy component.;"LUTZ DANIEL REESE [US] 
KIM YOUNG JIN [US] 
LIN YANG-PI [US]";GEN ELECTRIC [US];"EP2146349A2 
EP2146349A3 
EP2146349B1";17.07.2008;"G21C17/022 
G21C3/30 
G21C3/33 
G21C7/10 
G21C21/02 
G21C3/356";"G21C17/0225 (EP,US) 
G21C21/02 (EP,US) 
G21C3/356 (EP,US) 
Y02E30/30 (EP)";"2010-01-20 
2013-10-23 
2014-10-01";20.01.2010;41017007
152;Split spring anti-fretting fuel rod support structure;nuclear fuel assembly grid having a vertical, elongated, split spring on each wall of the cells that support fuel rods, wherein at least one wall of the cells that support fuel rods has a vertically elongated spring that extends into the cell, the vertically elongated spring having a vertical slit that separates a most extended portion of the spring into two vertically oriented ligaments with a most extended portion of the ligaments being rounded in two directions to provide two, coplanar, point contacts of support for a fuel rod.;"EVANS PAUL MARCUS [US] 
BRODERS RICHARD P [US] 
MARZEAN MICHAEL ANTHONY [US] 
WINEGARDNER MICHAEL [US] 
REPARAZ ADOLFO [US]";WESTINGHOUSE ELECTRIC CORP [US];"EP2365490A2 
EP2365490A3 
EP2365490B1";16.02.2010;"G21C3/356 
G21C3/352 
G21C3/352";"G21C3/30 (KR) 
G21C3/33 (KR) 
G21C3/352 (EP,US) 
G21C3/356 (EP,US) 
Y02E30/30 (EP,US)";"2011-09-14 
2012-02-22 
2014-06-18";18.08.2011;44209740
153;Water-cooled nuclear reactor fuel assembly has upper end supporting spring made from multiple layers of coaxial flat rings with wide range of elastic deformation;The assembly, comprising a bundle of fuel pencils held in a cage between two fixed ends, has the upper end (8) fitted with at least one supporting spring (10) that is deformable in an axial direction (4). The spring is made up of multiple layers of flat rings (14) of a material with a wide range of elastic deformation, such as titanium or titanium alloy, located coaxially about an axis (10'). The spring is fixed to the fixed upper end of the fuel assembly with its axis perpendicular to that of the assembly.;"D USTON DE VILLEREGLAN BERENGE 
DELANNOY THIERRY";FRAMATOME ANP SAS [FR];"FR2870627A1 
FR2870627B1";19.05.2004;"G21C3/33 
G21C3/12 
G21C3/33";"G21C3/12 (EP) 
Y02E30/30 (EP)";"2005-11-25 
2006-07-28";25.11.2005;34946610
154;METHOD AND DEVICE FOR LOADING A FUEL ASSEMBLY INTO THE CORE OF A NUCLEAR REACTOR;"The invention relates to a method and a device for loading a fuel assembly into the core of a nuclear reactor. The inventive method consists in: inserting a dummy assembly (4) into the loading location (3) of the fuel assembly (5), said dummy assembly essentially having the same shape and dimensions as the loading location (3) and comprising smooth side walls; fixing the position of at least one fuel assembly (5) that is adjacent to the loading location (3), in the presence of the aforementioned dummy assembly (4), in relation to at least one second assembly (5) of the core, using at least one fuel assembly support tool (11); removing the dummy assembly (4) from the loading location (3); introducing the fuel assembly (5) which is being loaded into the loading location (3); and removing the fuel assembly support tool(s) (11).";JUBLOT PATRICE [FR];"FRAMATOME ANP [FR] 
REEL SA [FR] 
AREVA NP [FR]";"EP1570492A2 
EP1570492B1";10.12.2002;"G21C19/20 
G21C19/20";"G21C19/205 (EP,US) 
Y02E30/30 (EP)";"2005-09-07 
2010-09-01";11.06.2004;32320167
155;DEVICE AND METHOD FOR UNDERWATER REPAIR OF A HOLE OF A NUCLEAR REACTOR PART;The invention relates to a repair device, which includes a holder (32), a cutting tool (22) held by the holder (32) and having at least one cutting tooth (70) for re-machining an inner surface of the hole, the cutting tool (22) having a suction channel (44) extending into the cutting tool (22) between at least one inlet opening (46) and at least one outlet opening (48), a drive shaft (34) for rotating the cutting tool (22), the drive shaft (34) being held by the holder (32), and a suction tube (36) connected to the holder (32) and fluidly coupled to the outlet opening (48) of the suction channel (44).;"ROILLET SERGE [FR] 
VALERO JULIEN [FR]";FRAMATOME SA [FR];"EP3414765A1 
EP3414765B1";12.02.2016;"B23C3/00 
G21C3/04 
G21C3/30 
G21C19/02 
G21C3/33 
G21C3/334 
G21C5/06 
B23D75/00";"B23D75/00 (EP,US) 
B23D77/14 (US) 
G21C19/02 (EP) 
G21C3/3315 (EP) 
G21C3/334 (EP,US) 
G21C5/06 (EP) 
B23D2277/28 (US) 
G21C19/02 (US) 
G21C3/3315 (US) 
G21C5/06 (US) 
Y02E30/30 (EP) 
Y10T408/50 (US)";"2018-12-19 
2024-10-16";17.08.2017;55752547
156;SPRING APPARATUS AND SUPPORT APPARATUS USABLE IN NUCLEAR INSTALLATION;A spring apparatus in accordance with the disclosed and claimed concept is usable in a nuclear installation. In one embodiment, the spring apparatus includes a plurality of springs that are in a compressed state and that are compressively engaged with an upper core plate of a nuclear reactor when the reactor is in a cold condition. However, when the reactor is in a hot condition, a spring of the plurality of springs is in a free state wherein a free end of the spring is in an uncompressed state and is disengaged from the upper core plate. In another embodiment, the spring apparatus employs a support apparatus that is also in accordance with the disclosed and claimed concept and that includes one or more bumpers that engage the springs of a spring pack from the underside.;"CHOI JOONHYUNG [US] 
ALESHIN YURIY [US]";WESTINGHOUSE ELECTRIC CO LLC [US];"EP3411881A2 
EP3411881A4 
EP3411881B1";02.02.2016;G21C3/33;"G21C3/331 (EP,KR,US) 
Y02E30/30 (EP,US)";"2018-12-12 
2019-10-02 
2021-04-28";03.08.2017;59386196
157;NUCLEAR FUEL TRANSPORTATION CONTAINER AND NUCLEAR FUEL TRANSPORTATION DEVICE HAVING SAME;According to the nuclear fuel transportation container provided by the present invention, a tank body for accommodating nuclear fuel assemblies is wrapped in a plastically deformable impact-resistant protective layer, and several recesses for accommodating supporting columns are formed in the protective layer, so that the supporting columns can abut against the tank body and bear the weight of the container, the protective layer does not bear weight, and an energy absorption structure is used to plastically deform and resist impact,so that the impact resistance is improved.;"LIANG HUO [CN] 
JI WENYING [CN] 
SHEN YONGGANG [CN] 
CUI XUYANG [CN] 
OUYANG TAILONG [CN] 
OUYANG YONG [CN] 
WANG XIONG [CN] 
LU CHANGDONG [CN] 
CHEN YUNYIN [CN] 
LIU JIANCHANG [CN] 
WANG XIANMAO [CN] 
LIU ZHONGHAO [CN] 
CHEN YICHEN [CN] 
BAO XIAOLI [CN]";"CHINA NUCLEAR POWER TECHNOLOGY RES INST CO LTD [CN] 
CHINA GENERAL NUCLEAR POWER [CN] 
CGN POWER CO LTD [CN]";EP4451291A1;05.01.2022;"G21F5/06 
G21F5/08";"G21F5/06 (EP,CN) 
G21F5/08 (EP,CN) 
Y02E30/30 (EP)";23.10.2024;13.05.2022;81510729
158;Fuel rod and assembly containing an internal hydrogen/tritium getter structure;A fuel assembly (16) for a nuclear reactor contains fuel rods (48) which contain nuclear fuel pellets (62) held in place by a spring means or a like device (64) and end plugs (56,58) where a hollow gas absorber structure (80) is also disposed within the fuel rods (48) where at least one surface of the absorber structure (80) is coated with a catalyst material (83) that absorbs and retains at least one of hydrogen and tritium.;"LIU JIN [US] 
KNOTT RONALD [US] 
KESTERSON RONALD [US] 
FIERO IVAN [US] 
MITCHELL DAVID [US] 
STUCKER DAVID [US] 
SUNG YIXING [US] 
FETTERMAN ROBERT [US] 
HALLSTADIUS LARS [SE]";WESTINGHOUSE ELECTRIC CORP [US];"EP2105934A2 
EP2105934A3";24.03.2008;"G21C3/04 
G21C3/17";"G21C3/041 (EP,US) 
G21C3/17 (EP,US) 
G21C3/30 (KR) 
Y02E30/30 (EP,US)";"2009-09-30 
2009-12-30";24.09.2009;40791121
